Batch	Flag	MMS	OCLC	Details	Title
	CHECK-Series490-traced	99383850001606576	(OCoLC)957533621	Series statement (traced): People of God	
	CHECK-ENCODING	99383850001806576	(OCoLC)268547454	Encoding level: a	Uncommon faithfulness : the Black Catholic experience / M. Shawn Copeland, editor ; with LaReine-Marie Mosely and Albert J. Raboteau.
	Has_$5	99383850001806576	(OCoLC)268547454	Field with $5 :505	
	CHECK-Series490-traced	99383850303806576	(OCoLC)1330889038	Series statement (traced): Sanskrit texts from the Tibetan Autonomous Region (STARR) ;No. 23	
	CHECK-100-INDICATOR	99383853402506576	(OCoLC)1289264547	Ind1:  , Ind2:  	
	CHECK-Series490-traced	99383853402506576	(OCoLC)1289264547	Series statement (traced): Oxford world's classics	
	CHECK-Series490-traced	99383853405206576	(OCoLC)1371485682	Series statement (traced): Early American histories	
	CHECK-ENCODING	99383853704606576	(OCoLC)807025765	Encoding level: 0	The rise of Western Christendom : triumph and diversity, A.D. 200-1000 / Peter Brown.
	CHECK-Series490-traced	99383853704606576	(OCoLC)807025765	Series statement (traced): The making of Europe	
	CHECK-100-INDICATOR	99383854492906576	(OCoLC)896791614	Ind1:  , Ind2:  	
	CHECK-Series490-traced	99383854702906576	(OCoLC)1396158203	Series statement (traced): Norton shorts	
	CHECK-ENCODING	99383856072906576	(OCoLC)41520225	Encoding level: 0	Breakfast of champions ; or, Goodbye blue Monday! / by Kurt Vonnegut ; with drawings by the author.
	Has_$5	99383856072906576	(OCoLC)41520225	Field with $5 :500	
	CHECK-Series490-traced	99383864978106576	(OCoLC)1151752115	Series statement (traced): The Library of America ;338	
	CHECK-Series490-traced	99383864978206576	(OCoLC)1180012317	Series statement (traced): The Cambridge edition of the works of Virginia Woolf	
	CHECK-ENCODING	99383864978806576	(OCoLC)1035459503	Encoding level: i	Always coming home / Ursula K. Le Guin ; Brian Attebery, editor.
	CHECK-Series490-traced	99383864978806576	(OCoLC)1035459503	Series statement (traced): The Library of America ;315	
	EDIT-245Ind1	99383865104106576	(OCoLC)1054834932	245 Ind1: 0	Natural stone and World Heritage : Salamanca (Spain) / [edited by] Dolores Pereira, Department of Geology, University of Salamanca, Salamanca, Spain.
	EDIT-Series490-untraced	99383865104106576	(OCoLC)1054834932	Series statement (untraced): National stone and world heritage,2640-0162 ;volume 1	
	CHECK-ENCODING	990202321540306576	(OCoLC)32526263	Encoding level: a	The Tibetan book of living and dying / Sogyal Rinpoche ; edited by Patrick Gaffney and Andrew Harvey.
	CHECK-ENCODING	990203929970306576	(OCoLC)50560445	Encoding level: 0	Open mike : reflections on philosophy, race, sex, culture, and religion / Michael Eric Dyson.
	CHECK-ENCODING	990205018790306576	(OCoLC)73175947	Encoding level: 0	The sun also rises / Ernest Hemingway.
	CHECK-ENCODING	990207181150306576	(OCoLC)68786698	Encoding level: 0	Folktales of the Jews / edited and with commentary by Dan Ben-Amos ; Dov Noy, consulting editor ; Ellen Frankel, series editor ; translated by Leonard J. Schramm ; illustrations by Ira Shander.
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	EDIT-Contents	990207181150306576	(OCoLC)68786698	Enhance Contents Field	
	EDIT-Contents	990207181150306576	(OCoLC)68786698	Enhance Contents Field	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
	CHECK-ENCODING	990243479320306576	(OCoLC)61689059	Encoding level: 0	Art as experience / by John Dewey.
