Batch	Flag	MMS	OCLC	Details	Title
	CHECK-Cataloging Language	99383843900406576	(OCoLC)617445677	040-b: 	The development of law and legal institutions among the Cherokees / by Thomas Lee Ballenger ; introduction by Chad Smith.
	Has_$5	99383843900406576	(OCoLC)617445677	Field with $5 :500	
	CHECK-Series490-traced	99383843900606576	(OCoLC)978560946	Series statement (traced): The Penguin history of the United States	
	CHECK-100-INDICATOR	99383848702706576	(OCoLC)1346152852	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383848702706576	(OCoLC)1346152852	245 Ind1: 0	Literary history in and beyond China : reading text and world / edited by Sarah M. Allen, Jack W. Chen, and Xiaofei Tian.
	CHECK-Series490-traced	99383848702706576	(OCoLC)1346152852	Series statement (traced): Harvard-Yenching Institute monograph series ;137	
	CHECK-Series490-traced	99383850000906576	(OCoLC)1355779648	Series statement (traced): Atlantic migrations and the African diaspora	
	CHECK-Cataloging Language	99383850001806576	(OCoLC)268547454	040-b: 	Uncommon faithfulness : the Black Catholic experience / M. Shawn Copeland, editor ; with LaReine-Marie Mosely and Albert J. Raboteau.
	Has_$5	99383850001806576	(OCoLC)268547454	Field with $5 :505	
	CHECK-100-INDICATOR	99383853405106576	(OCoLC)1371466031	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383853405106576	(OCoLC)1371466031	245 Ind1: 0	Black women in Latin America and the Caribbean : critical research and perspectives / edited by Melanie A. Medeiros and Keisha-Khan Y. Perry.
	CHECK-Series490-traced	99383858597906576	(OCoLC)1268256605	Series statement (traced): Sport, culture, & society	
	CHECK-ENCODING	99383864974606576		Encoding level: 7	Pen.
	Find OCLC	99383864974606576		Bib has no OCLC num	Pen.
	CHECK-Cataloging Language	99383864974606576		040-b: 	Pen.
	EDIT-Series490-untraced	99383864977306576	(OCoLC)1378795937	Series statement (untraced): Everyman's Library Contemporary Classics Series	
	CHECK-Series490-traced	99383864977306576	(OCoLC)1378795937	Series statement (traced): Everyman's library ;410	
	CHECK-MultipleSeries490	99383864977306576	(OCoLC)1378795937	Check Bib record	Never let me go / Kazuo Ishiguro ; with an introduction by David Sexton.
	Has_$5	99383864977606576	(OCoLC)1260190602	Field with $5 :655	
	CHECK-Series490-traced	99383864977606576	(OCoLC)1260190602	Series statement (traced): Penguin classics	
	CHECK-Series490-traced	99383864977606576	(OCoLC)1260190602	Series statement (traced): Penguin vitae	
	CHECK-MultipleSeries490	99383864977606576	(OCoLC)1260190602	Check Bib record	The color purple / Alice Walker ; foreword by Kiese Laymon.
	CHECK-Series490-traced	99383864978806576	(OCoLC)1035459503	Series statement (traced): The Library of America ;315	
	Has_$5	99383864979406576	(OCoLC)180204960	Field with $5 :490	
	Has_$5	99383864979406576	(OCoLC)180204960	Field with $5 :505	
	Has_$5	99383864979406576	(OCoLC)180204960	Field with $5 :505	
	Has_$5	99383864979406576	(OCoLC)180204960	Field with $5 :505	
	Has_$5	99383864979406576	(OCoLC)180204960	Field with $5 :505	
	Has_$5	99383864979406576	(OCoLC)180204960	Field with $5 :505	
	EDIT-440	99383864979406576	(OCoLC)180204960	Series, obsolete field: Approaches to teaching world literature ;99	
	EDIT-Series490-untraced	99383864979406576	(OCoLC)180204960	Series statement (untraced): Approaches to teaching world literature ;99FBoU	
	EDIT-Series490-untraced	99383864979606576	(OCoLC)894747298	Series statement (untraced): Scribner classics	
	CHECK-Series490-traced	99383864980706576	(OCoLC)922373447	Series statement (traced): Critical insights	
	CHECK-Series490-traced	99383864981106576	(OCoLC)501396766	Series statement (traced): Poetry firsts collection	
	CHECK-Series490-traced	99383864981606576	(OCoLC)946058580	Series statement (traced): Penguin galaxy	
	CHECK-Series490-traced	99383864981606576	(OCoLC)946058580	Series statement (traced): Penguin classics	
	CHECK-MultipleSeries490	99383864981606576	(OCoLC)946058580	Check Bib record	Stranger in a strange land / Robert A. Heinlein ; series introduction by Neil Gaiman.
	EDIT-264-missing-©	99383864982006576	(OCoLC)78790549	copyright © 2007.	
	EDIT-Series490-untraced	99383864982006576	(OCoLC)78790549	Series statement (untraced): Middle-earth universe	
	CHECK-Series490-traced	99383864982106576	(OCoLC)466340700	Series statement (traced): Everyman's library ;329	
	CHECK-Cataloging Language	99383864983306576	(OCoLC)34476446	040-b: 	The sun also rises / Ernest Hemingway.
	Has_$5	99383864983306576	(OCoLC)34476446	Field with $5 :490	
	EDIT-Series490-untraced	99383864983306576	(OCoLC)34476446	Series statement (untraced): Scribner classicsFBoUFTaFAFMFIU	
	CHECK-Cataloging Language	99383864983906576	(OCoLC)37024192	040-b: 	Early novels and stories / James Baldwin.
	Has_$5	99383864983906576	(OCoLC)37024192	Field with $5 :490	
	Has_$5	99383864983906576	(OCoLC)37024192	Field with $5 :490	
	Has_$5	99383864983906576	(OCoLC)37024192	Field with $5 :505	
	EDIT-440	99383864983906576	(OCoLC)37024192	Series, obsolete field: The library of America ;97	
	CHECK-Series490-traced	99383864983906576	(OCoLC)37024192	Series statement (traced): The library of America series ;97FTS	
	CHECK-Series490-traced	99383864983906576	(OCoLC)37024192	Series statement (traced): The Library of America ;97FJUNF	
	CHECK-MultipleSeries490	99383864983906576	(OCoLC)37024192	Check Bib record	Early novels and stories / James Baldwin.
	CHECK-Series490-traced	99383864985906576	(OCoLC)35150563	Series statement (traced): Everyman's library ;29	
	CHECK-ENCODING	99383864986306576	(OCoLC)28181796	Encoding level: 8	Heart of darkness / Joseph Conrad.
	CHECK-Cataloging Language	99383864986306576	(OCoLC)28181796	040-b: 	Heart of darkness / Joseph Conrad.
	Has_$5	99383864986306576	(OCoLC)28181796	Field with $5 :490	
	EDIT-Series490-untraced	99383864986306576	(OCoLC)28181796	Series statement (untraced): Everyman's libraryFU	
	CHECK-Series490-traced	99383864998206576	(OCoLC)1348996245	Series statement (traced): Archaeopress archaeology	
	CHECK-Series490-traced	99383865102106576	(OCoLC)1242912684	Series statement (traced): Juan de la Cuesta Hispanic monographs	
	CHECK-Series490-traced	99383865102106576	(OCoLC)1242912684	Series statement (traced): The Comedia in translation and performance ;no. 12	
	CHECK-MultipleSeries490	99383865102106576	(OCoLC)1242912684	Check Bib record	The courage to right a woman's wrongs / Ana Carol Mallén de Soto ; translated by The UCLA Working Group on the Comedia in Translation and Performance ...
	CHECK-Series490-traced	99383865103006576	(OCoLC)1110124628	Series statement (traced): Museums in focus	
	CHECK-Series490-traced	99383865103406576	(OCoLC)1103674901	Series statement (traced): Museums in focus	
	CHECK-100-INDICATOR	99383865103506576	(OCoLC)979565597	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383865103506576	(OCoLC)979565597	245 Ind1: 0	World heritage and sustainable development : new directions in world heritage management / edited by Peter Bille Larsen and William Logan.
	CHECK-Series490-traced	99383865103506576	(OCoLC)979565597	Series statement (traced): Key issues in cultural heritage	
	CHECK-100-INDICATOR	99383865103606576	(OCoLC)45013493	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383865103606576	(OCoLC)45013493	245 Ind1: 0	Museum, media, message / edited by Eilean Hooper-Greenhill.
	CHECK-Series490-traced	99383865103606576	(OCoLC)45013493	Series statement (traced): Museum meanings	
	CHECK-100-INDICATOR	99383865103706576	(OCoLC)993632107	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383865103706576	(OCoLC)993632107	245 Ind1: 0	Museums and restitution : new practices, new approaches / edited by Louise Tythacott, Kostas Arvanitis.
	CHECK-Series490-traced	99383865103706576	(OCoLC)993632107	Series statement (traced): Information and cultural management	
	CHECK-Series490-traced	99383865103906576	(OCoLC)1140121825	Series statement (traced): Natural stone and World Heritage ;volume 2	
	CHECK-100-INDICATOR	99383865104206576	(OCoLC)902838137	Ind1:  , Ind2:  	
	CHECK-Cataloging Language	99383865472406576	(OCoLC)59360222	040-b: 	Rednecks & bluenecks : the politics of country music / Chris Willman.
	Has_$5	99383865472406576	(OCoLC)59360222	Field with $5 :500	
	EDIT-Geo	99383865496206576	(OCoLC)919000163	No Geo Code; Check Bib Record for Geo Headings	The miner / by Natsume Sōseki ; translated from the Japanese, with an afterword, by Jay Rubin ; introduction by Haruki Murakami.
	EDIT-Geo	99383927003506576	(OCoLC)1378028044	No Geo Code; Check Bib Record for Geo Headings	Our hideous progeny : a novel / C. E. McGill
	CHECK-ENCODING	99383927004806576	(OCoLC)1341348911	Encoding level: 3	The marriage portrait / Maggie O'Farrell
	EDIT-245Ind2	99383927004806576	(OCoLC)1341348911	245 Ind2: 0 Title: The marriage portrait /	
	CHECK-Cataloging Language	990201877660306576	(OCoLC)09326461	040-b: 	Second-hand knowledge : an inquiry into cognitive authority / Patrick Wilson.
	CHECK-Multi050	990201877660306576	(OCoLC)09326461	050-1: BD175.W55 1983 050-2: BD175.W55	Second-hand knowledge : an inquiry into cognitive authority / Patrick Wilson.
	Has_$5	990201877660306576	(OCoLC)09326461	Field with $5 :500	
	EDIT-440	990201877660306576	(OCoLC)09326461	Series, obsolete field: Contributions in librarianship and information science,0084-9243 ;no. 44	
	EDIT-440	990201877660306576	(OCoLC)09326461	Series, obsolete field: Contributions in librarianship and information science ;no. 44	
	Has_$5	990202067240306576	(OCoLC)243546011	Field with $5 :505	
	CHECK-Cataloging Language	990207737050306576	(OCoLC)55149448	040-b: 	Term limits and the dismantling of state legislative professionalism / Thad Kousser.
	Has_$5	990207737050306576	(OCoLC)55149448	Field with $5 :505	
	Has_$5	990207737050306576	(OCoLC)55149448	Field with $5 :856	
	CHECK-Multi050	990209830100306576	(OCoLC)183612599	050-1: PR9619.4.Z87B66 2007 050-2: PZ7.Z837Boo 2007	The book thief / by Markus Zusak; illustrations by Trudy White.
	CHECK-Cataloging Language	990218990450306576	(OCoLC)28677424	040-b: 	Blueprints for a Black federal theatre, 1935-1939 / Rena Fraden.
	Has_$5	990218990450306576	(OCoLC)28677424	Field with $5 :490	
	EDIT-440	990218990450306576	(OCoLC)28677424	Series, obsolete field: Cambridge studies in American literature and culture ;80	
	EDIT-Series490-untraced	990218990450306576	(OCoLC)28677424	Series statement (untraced): Cambridge studies in American literature and culture ;80FBoU	
	CHECK-Cataloging Language	990226875230306576	(OCoLC)262426528	040-b: 	The big sort : why the clustering of like-minded America is tearing us apart / Bill Bishop ; with Robert G. Cushing.
	Has_$5	990226875230306576	(OCoLC)262426528	Field with $5 :500	
	Has_$5	990226875230306576	(OCoLC)262426528	Field with $5 :505	
	CHECK-Cataloging Language	990232742360306576	(OCoLC)06789342	040-b: 	Tar baby / Toni Morrison.
	Has_$5	990232742360306576	(OCoLC)06789342	Field with $5 :500	
	Has_$5	990232742360306576	(OCoLC)06789342	Field with $5 :500	
	CHECK-Cataloging Language	990247043530306576	(OCoLC)226388764	040-b: 	Buffett : the making of an American capitalist / Roger Lowenstein.
	Has_$5	990247043530306576	(OCoLC)226388764	Field with $5 :500	
	Has_$5	990247043530306576	(OCoLC)226388764	Field with $5 :500	
	Has_$5	990247043530306576	(OCoLC)226388764	Field with $5 :505	
	CHECK-Cataloging Language	990249835950306576	(OCoLC)37024981	040-b: 	The sacred and the feminine in ancient Greece / edited by Sue Blundell and Margaret Williamson.
	Has_$5	990249835950306576	(OCoLC)37024981	Field with $5 :505	
	Has_$5	990249835950306576	(OCoLC)37024981	Field with $5 :505	
	CHECK-Cataloging Language	990251221750306576	(OCoLC)55112154	040-b: 	In search of our mothers' gardens : womanist prose / Alice Walker.
	Has_$5	990251221750306576	(OCoLC)55112154	Field with $5 :490	
	Has_$5	990251221750306576	(OCoLC)55112154	Field with $5 :500	
	Has_$5	990251221750306576	(OCoLC)55112154	Field with $5 :505	
	EDIT-Series490-untraced	990251221750306576	(OCoLC)55112154	Series statement (untraced): A Harvest bookFSsNC	
	CHECK-ENCODING	990252106980306576	(OCoLC)317919744	Encoding level: 8	More than just race : being black and poor in the inner city / William Julius Wilson.
	CHECK-Cataloging Language	990252106980306576	(OCoLC)317919744	040-b: 	More than just race : being black and poor in the inner city / William Julius Wilson.
	Has_$5	990252106980306576	(OCoLC)317919744	Field with $5 :490	
	Has_$5	990252106980306576	(OCoLC)317919744	Field with $5 :505	
	CHECK-Series490-traced	990252106980306576	(OCoLC)317919744	Series statement (traced): Issues of our timeFTaSU	
	CHECK-Cataloging Language	990259992930306576	(OCoLC)70199853	040-b: 	Picturing the city in medieval Italian painting / Felicity Ratté.
	Has_$5	990259992930306576	(OCoLC)70199853	Field with $5 :505	
	CHECK-Cataloging Language	990267756370306576	(OCoLC)16923397	040-b: 	The Norton anthology of modern poetry / edited by Richard Ellmann and Robert O'Clair.
	Has_$5	990267756370306576	(OCoLC)16923397	Field with $5 :500	
	CHECK-Cataloging Language	990273360810306576	(OCoLC)67242829	040-b: 	Rising up and rising down : some thoughts on violence, freedom and urgent means / William T. Vollmann.
	Has_$5	990273360810306576	(OCoLC)67242829	Field with $5 :500	
	Has_$5	990273360810306576	(OCoLC)67242829	Field with $5 :500	
	Has_$5	990273360810306576	(OCoLC)67242829	Field with $5 :500	
	Has_$5	990273360810306576	(OCoLC)67242829	Field with $5 :505	
	EDIT-ISBN_20a-to-z	990308143760306576	(OCoLC)751718448	020a: 9781573447508 (eBook)	
	EDIT-ISBN_20a-to-z	990308143760306576	(OCoLC)751718448	020a: 1573447501 (eBook)	
	EDIT-Geo	990309957990306576	(OCoLC)657603431	No Geo Code; Check Bib Record for Geo Headings	Greek and Roman sexualities : a sourcebook / Jennifer Larson.
	CHECK-Series490-traced	990309957990306576	(OCoLC)657603431	Series statement (traced): Bloomsbury sources in ancient history	
	EDIT-264-missing-©	990321645380306576	(OCoLC)838415643	2014	
	CHECK-Series490-traced	990327586410306576	(OCoLC)863684393	Series statement (traced): Moral traditions series	
	CHECK-ENCODING	990347332700306576	(OCoLC)935989265	Encoding level: z	Beyond blaxploitation / edited by Novotny Lawrence and Gerald R. Butters, Jr.
	CHECK-Series490-traced	990347332700306576	(OCoLC)935989265	Series statement (traced): Contemporary approaches to film and media series	
	CHECK-ENCODING	990356164600306576	(OCoLC)989027186	Encoding level: u	Hurricane Katrina and the lessons of disaster relief / edited by Michael Powelson.
	EDIT-264-missing-©	990356164600306576	(OCoLC)989027186	2017	
	CHECK-Series490-traced	990358127650306576	(OCoLC)991683588	Series statement (traced): Early American history series : the American colonies, 1500-1830 ;volume 8	
	CHECK-Series490-traced	990381777890306576	(OCoLC)1141858982	Series statement (traced): Penguin classics	
	CHECK-100-INDICATOR	99383840405206576	(OCoLC)1022779412	Ind1:  , Ind2:  	
	CHECK-Series490-traced	99383840405206576	(OCoLC)1022779412	Series statement (traced): Springer protocols	
	CHECK-Series490-traced	99383840405206576	(OCoLC)1022779412	Series statement (traced): Methods in molecular biology,1064-3745 ;1781	
	CHECK-MultipleSeries490	99383840405206576	(OCoLC)1022779412	Check Bib record	Psychoneuroimmunology : methods and protocols / edited by Qing Yan.
	CHECK-Series490-traced	99383843895406576	(OCoLC)1346351823	Series statement (traced): The life of ideas	
	EDIT-245Ind1	99383843896006576	(OCoLC)1079058686	245 Ind1: 0	Philosophy for us / edited by Lenny Clapp.
	EDIT-264-missing-©	99383843898006576	(OCoLC)1340646034	�2023	
	CHECK-Series490-traced	99383843901106576	(OCoLC)1380460094	Series statement (traced): Supplements to the journal for the study of Judaism,1384-2161 ;209	
	CHECK-Multi050	99383843901606576	(OCoLC)1331703651	050-1: BL2747.3.G56 2022 050-2: BL2747.G56 2022	Global sceptical publics : from non-religious print media to 'digital atheism' / edited by Jacob Copeman and Mascha Schulz.
	CHECK-100-INDICATOR	99383843901606576	(OCoLC)1331703651	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383843901606576	(OCoLC)1331703651	245 Ind1: 0	Global sceptical publics : from non-religious print media to 'digital atheism' / edited by Jacob Copeman and Mascha Schulz.
	EDIT-Series490-untraced	99383843901706576	(OCoLC)1330404116	Series statement (untraced): Oxford handbooks in religion and theology	
	CHECK-ENCODING	99383843904106576	(OCoLC)48516060	Encoding level: c	Baryshnikov in black and white / [introduction by] Joan Acocella.
	CHECK-Cataloging Language	99383843904106576	(OCoLC)48516060	040-b: 	Baryshnikov in black and white / [introduction by] Joan Acocella.
	CHECK-Multi050	99383848703406576	(OCoLC)1295617344	050-1: DS504.5.B44 2022 050-2: Z3001.B44 2022	Beyond the book : unique and rare primary sources for East Asian studies collected in North America / Jidong Yang, editor.
	CHECK-100-INDICATOR	99383848703406576	(OCoLC)1295617344	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383848703406576	(OCoLC)1295617344	245 Ind1: 0	Beyond the book : unique and rare primary sources for East Asian studies collected in North America / Jidong Yang, editor.
	CHECK-Series490-traced	99383848703406576	(OCoLC)1295617344	Series statement (traced): Asia past & present: new research from AAS ;number 16	
	CHECK-Series490-traced	99383850078606576	(OCoLC)1242599067	Series statement (traced): Potsdamer altertumswissenschaftliche Beiträge ;Band 75	
	CHECK-Series490-traced	99383850078606576	(OCoLC)1242599067	Series statement (traced): Classics	
	CHECK-MultipleSeries490	99383850078606576	(OCoLC)1242599067	Check Bib record	Engendering the future : divination and the construction of gender in the Late Roman Republic / Chris Mowat.
	CHECK-Series490-traced	99383850303806576	(OCoLC)1330889038	Series statement (traced): Sanskrit texts from the Tibetan Autonomous Region (STARR) ;No. 23	
	CHECK-100-INDICATOR	99383854490306576	(OCoLC)708544421	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383854490306576	(OCoLC)708544421	245 Ind1: 0	Textbook of endocrine physiology / edited by Willaim J. Kovacs, Sergio R. Ojeda.
	EDIT-245Ind1	99383854601306576	(OCoLC)1111704475	245 Ind1: 0	The inequality reader: contemporary and foundational readings in race, class, and gender / edited by David B. Grusky and Szonja Szelényi.
	CHECK-Series490-traced	99383854702906576	(OCoLC)1396158203	Series statement (traced): Norton shorts	
	CHECK-Series490-traced	99383856081806576	(OCoLC)1260169045	Series statement (traced): Sociology re-wired	
	CHECK-100-INDICATOR	99383856096006576	(OCoLC)1255689894	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383856096006576	(OCoLC)1255689894	245 Ind1: 0	Human migration : biocultural perspectives / edited by Maria De Lourdes Muñoz-Moreno and Michael H. Crawford.
	CHECK-Series490-traced	99383857302506576	(OCoLC)1355042410	Series statement (traced): The Sheng yen series in Chinese Buddhist studies	
	CHECK-Cataloging Language	99383858203706576	(OCoLC)70149251	040-b: 	Core Python programming / Wesley J. Chun.
	Has_$5	99383858203706576	(OCoLC)70149251	Field with $5 :490	
	Has_$5	99383858203706576	(OCoLC)70149251	Field with $5 :500	
	Has_$5	99383858203706576	(OCoLC)70149251	Field with $5 :856	
	CHECK-Series490-traced	99383858203706576	(OCoLC)70149251	Series statement (traced): Prentice Hall core seriesFOFT	
	EDIT-245Ind1	99383858801506576	(OCoLC)1371423412	245 Ind1: 0	Die Flache : design and lettering of the Vienna Secession, 1902-1911 / designer Marisa Kwek ; production designer Debbie Berne.
	EDIT-Series490-untraced	99383858805206576	(OCoLC)1022076257	Series statement (untraced): Pearson modern classics series	
	CHECK-Series490-traced	99383864978106576	(OCoLC)1151752115	Series statement (traced): The Library of America ;338	
	EDIT-Geo	99383864978406576	(OCoLC)1178873257	No Geo Code; Check Bib Record for Geo Headings	The old man and the sea / Ernest Hemingway.
	CHECK-ENCODING	99383864979306576	(OCoLC)925498067	Encoding level: 8	Sanditon, Lady Susan, the History of England, &c. : the juvenilia and shorter works of Jane Austen ; with an afterword by Kathryn White.
	EDIT-Series490-untraced	99383864979306576	(OCoLC)925498067	Series statement (untraced): Macmillan collector's library ;22	
	CHECK-Series490-traced	99383864979906576	(OCoLC)764346963	Series statement (traced): Library of America ;226	
	CHECK-ENCODING	99383864980006576	(OCoLC)985966079	Encoding level: u	Those who from afar look like flies : an anthology of Italian poetry from Pasolini to the present / edited by Luigi Ballerini and Beppe Cavatorta ; foreword by Marjorie Perloff.
	CHECK-Series490-traced	99383864980006576	(OCoLC)985966079	Series statement (traced): Lorenzo da Ponte Italian library	
	CHECK-Series490-traced	99383864980006576	(OCoLC)985966079	Series statement (traced): The Da Ponte Anthology of Italian Poetry Project ;IV.2	
	CHECK-MultipleSeries490	99383864980006576	(OCoLC)985966079	Check Bib record	Those who from afar look like flies : an anthology of Italian poetry from Pasolini to the present / edited by Luigi Ballerini and Beppe Cavatorta ; foreword by Marjorie Perloff.
	CHECK-Sets-ISBN_020Q	99383864980006576	(OCoLC)985966079	ISBN:9781442637344 144263734XQualifier:(v. 1 ; cloth)	
	CHECK-Cataloging Language	99383864980606576	(OCoLC)137325279	040-b: 	King Hedley II : 1985 / August Wilson ; foreword by Marion McClinton ; afterword by August Wilson.
	Has_$5	99383864980606576	(OCoLC)137325279	Field with $5 :490	
	Has_$5	99383864980606576	(OCoLC)137325279	Field with $5 :500	
	Has_$5	99383864980606576	(OCoLC)137325279	Field with $5 :856	
	EDIT-440	99383864980606576	(OCoLC)137325279	Series, obsolete field: The August Wilson century cycle	
	CHECK-Series490-traced	99383864980606576	(OCoLC)137325279	Series statement (traced): The August Wilson century cycleFSsNCFTaFA	
	CHECK-Sets-ISBN_020A	99383864980606576	(OCoLC)137325279	ISBN:9781559363051 1559363053 9781559363051 (alk. paper) 1559363053 (alk. paper) 9781559363075 (set) 155936307X (set)	
	CHECK-Sets-ISBN_020A	99383864980606576	(OCoLC)137325279	ISBN:9781559363051 1559363053 9781559363051 (alk. paper) 1559363053 (alk. paper) 9781559363075 (set) 155936307X (set)	
	CHECK-Sets-ISBN_020A	99383864980606576	(OCoLC)137325279	ISBN:9781559363051 1559363053 9781559363051 (alk. paper) 1559363053 (alk. paper) 9781559363075 (set) 155936307X (set)	
	CHECK-Sets-ISBN_020A	99383864980606576	(OCoLC)137325279	ISBN:9781559363051 1559363053 9781559363051 (alk. paper) 1559363053 (alk. paper) 9781559363075 (set) 155936307X (set)	
	EDIT-264-missing-©	99383864981506576	(OCoLC)828505729	1996	
	CHECK-Series490-traced	99383864981506576	(OCoLC)828505729	Series statement (traced): Penguin Classics	
	CHECK-ENCODING	99383864982506576	(OCoLC)767564508	Encoding level: 8	Hostage : a novel / Elie Wiesel ; translated from the French by Catherine Temerson.
	CHECK-ENCODING	99383864982606576	(OCoLC)60836689	Encoding level: M	The house of the spirits / Isabel Allende ; translated from the Spanish by Magda Bogin ; with an introduction by Christopher Hitchens.
	CHECK-Cataloging Language	99383864982606576	(OCoLC)60836689	040-b: 	The house of the spirits / Isabel Allende ; translated from the Spanish by Magda Bogin ; with an introduction by Christopher Hitchens.
	CHECK-Series490-traced	99383864982606576	(OCoLC)60836689	Series statement (traced): Everyman's library ;281.	
	CHECK-Cataloging Language	99383864983206576	(OCoLC)27216488	040-b: 	Animal farm / George Orwell ; with an introduction by Julian Symons.
	Has_$5	99383864983206576	(OCoLC)27216488	Field with $5 :490	
	CHECK-Series490-traced	99383864983206576	(OCoLC)27216488	Series statement (traced): Everyman's library ;150FOFTFUFTaFA	
	Has_$5	99383864983606576	(OCoLC)70630525	Field with $5 :561	
	Has_$5	99383864983606576	(OCoLC)70630525	Field with $5 :710	
	EDIT-Series490-untraced	99383864983606576	(OCoLC)70630525	Series statement (untraced): Book club kit	
	CHECK-Series490-traced	99383864984306576	(OCoLC)67922603	Series statement (traced): Everyman's library ;302	
	CHECK-Cataloging Language	99383864984406576	(OCoLC)40538296	040-b: 	Like shaking hands with God : a conversation about writing / Kurt Vonnegut & Lee Stringer ; moderated by Ross Klavan ; foreword by Daniel Simon ; photos by Art Shay.
	CHECK-Cataloging Language	99383864984906576	(OCoLC)02132415	040-b: 	Interview with the vampire / Anne Rice.
	Has_$5	99383864984906576	(OCoLC)02132415	Field with $5 :500	
	CHECK-Cataloging Language	99383864985506576	(OCoLC)50799609	040-b: 	The big sleep : Farewell, my lovely ; The high window / Raymond Chandler ; with an introduction by Diane Johnson.
	Has_$5	99383864985506576	(OCoLC)50799609	Field with $5 :490	
	Has_$5	99383864985506576	(OCoLC)50799609	Field with $5 :500	
	Has_$5	99383864985506576	(OCoLC)50799609	Field with $5 :505	
	CHECK-Series490-traced	99383864985506576	(OCoLC)50799609	Series statement (traced): Everyman's library ;255FOFTFU	
	EDIT-Geo	99383864985806576	(OCoLC)673772884	No Geo Code; Check Bib Record for Geo Headings	Blood meridian, or, the evening redness in the West / Cormac McCarthy ; introduction by Harold Bloom.
	CHECK-Cataloging Language	99383864986506576	(OCoLC)60339555	040-b: 	Atlas shrugged / Ayn Rand.
	CHECK-Cataloging Language	99383864986606576	(OCoLC)51330242	040-b: 	Zhu Xi's Reading of the Analects : canon, commentary, and the classical tradition / Daniel K. Gardner.
	CHECK-Series490-traced	99383865103106576	(OCoLC)1077788635	Series statement (traced): Museums in focus	
	CHECK-Series490-traced	99383865104006576	(OCoLC)1245248534	Series statement (traced): Natural stone and world heritage	
	EDIT-Contents	99383865104006576	(OCoLC)1245248534	Enhance Contents Field	
	EDIT-245Ind1	99383865104106576	(OCoLC)1054834932	245 Ind1: 0	Natural stone and World Heritage : Salamanca (Spain) / [edited by] Dolores Pereira, Department of Geology, University of Salamanca, Salamanca, Spain.
	EDIT-Series490-untraced	99383865104106576	(OCoLC)1054834932	Series statement (untraced): National stone and world heritage,2640-0162 ;volume 1	
	CHECK-ENCODING	99383926895706576	(OCoLC)1259441042	Encoding level: M	Book of Hope : A Survival Guide for Trying Times.
	EDIT-Series490-untraced	99383926895706576	(OCoLC)1259441042	Series statement (untraced): Global Icon #2	
	EDIT-264-missing-©	99383927101806576	(OCoLC)1335121742	�2023	
	CHECK-Series490-traced	99383999301206576	(OCoLC)43354035	Series statement (traced): Everyman's library ;30	
	CHECK-Multi050	99383999301806576	(OCoLC)920470641	050-1: PZ7.L5798Two 2015 050-2: PS3562.E922175T86 2015	Two boys kissing / David Levithan.
	CHECK-Cataloging Language	990201262770306576	(OCoLC)50903131	040-b: 	Conversations with Miller / Mel Gussow.
	Has_$5	990201262770306576	(OCoLC)50903131	Field with $5 :500	
	CHECK-Cataloging Language	990201851840306576	(OCoLC)144221648	040-b: 	Radical acts : theatre and feminist pedagogies of change / edited by Ann Elizabeth Armstrong and Kathleen Juhl.
	Has_$5	990201851840306576	(OCoLC)144221648	Field with $5 :505	
	Has_$5	990201851840306576	(OCoLC)144221648	Field with $5 :856	
	CHECK-Cataloging Language	990206669940306576	(OCoLC)48435341	040-b: 	Haiti's predatory republic : the unending transition to democracy / Robert Fatton, Jr.
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	Has_$5	990207181150306576	(OCoLC)68786698	Field with $5 :505	
	EDIT-Contents	990207181150306576	(OCoLC)68786698	Enhance Contents Field	
	EDIT-Contents	990207181150306576	(OCoLC)68786698	Enhance Contents Field	
	CHECK-Sets-ISBN_020A	990207181150306576	(OCoLC)68786698	ISBN:9780827608719 (v. 3) 0827608713 (v. 3) 0827608292 (alk. paper) 9780827608306 (v. 2) 9780827608290 0827608292 (v. 1) 0827608306 (v. 2) 9780827608290 (v. 1)	
