Batch	Flag	MMS	OCLC	Details	Title
	CHECK-Cataloging Language	99383864983706576	(OCoLC)56830630	040-b: 	The Silmarillion / J.R.R. Tolkien ; edited by Christopher Tolkien ; illustrated by Ted Nasmith.
	Has_$5	99383864983706576	(OCoLC)56830630	Field with $5 :500	
	Has_$5	99383864983706576	(OCoLC)56830630	Field with $5 :505	
	Has_$5	99383864984206576	(OCoLC)69332445	Field with $5 :500	
	Has_$5	99383864984206576	(OCoLC)69332445	Field with $5 :500	
	CHECK-Series490-traced	99383864984206576	(OCoLC)69332445	Series statement (traced): Everyman's library ;300	
	CHECK-ENCODING	99383864985206576	(OCoLC)20490025	Encoding level: 8	The stand : the complete and uncut edition / Stephen King.
	CHECK-Cataloging Language	99383864985206576	(OCoLC)20490025	040-b: 	The stand : the complete and uncut edition / Stephen King.
	CHECK-Series490-traced	99383864986206576	(OCoLC)30543037	Series statement (traced): Everyman's library ;171	
	CHECK-Series490-traced	99383865103806576	(OCoLC)1255174044	Series statement (traced): Natural stone and world heritage,2640-0162 ;4	
	EDIT-Geo	99383927004706576	(OCoLC)1288140754	No Geo Code; Check Bib Record for Geo Headings	On the rooftop : a novel / Margaret Wilkerson Sexton.
	CHECK-Series490-traced	99383927004706576	(OCoLC)1288140754	Series statement (traced): Reese's book club	
	CHECK-ENCODING	990201962360306576	(OCoLC)22911484	Encoding level: 5	The great cosmic mother : rediscovering the religion of the earth / Monica Sjöö and Barbara Mor.
	CHECK-Cataloging Language	990201962360306576	(OCoLC)22911484	040-b: 	The great cosmic mother : rediscovering the religion of the earth / Monica Sjöö and Barbara Mor.
	Has_$5	990201962360306576	(OCoLC)22911484	Field with $5 :500	
	CHECK-Series490-traced	990202461400306576	(OCoLC)56413383	Series statement (traced): Sexual cultures	
	CHECK-Multi050	990206730950306576	(OCoLC)24952905	050-1: PS173.N4M67 1992 050-2: PS173.B53M67 1992	Playing in the dark : whiteness and the literary imagination / Toni Morrison.
	CHECK-Series490-traced	990206730950306576	(OCoLC)24952905	Series statement (traced): The William E. Massey, Sr. lectures in the history of American civilization ;1990	
	CHECK-Cataloging Language	990206926810306576	(OCoLC)491930210	040-b: 	Critical thinking in counselling and psychotherapy / Colin Feltham.
	Has_$5	990206926810306576	(OCoLC)491930210	Field with $5 :505	
	CHECK-Cataloging Language	990208017390306576	(OCoLC)39812371	040-b: 	Love in a dead language : a romance / Lee Siegel.
	Has_$5	990208017390306576	(OCoLC)39812371	Field with $5 :500	
	Has_$5	990208017390306576	(OCoLC)39812371	Field with $5 :500	
	CHECK-Cataloging Language	990219630220306576	(OCoLC)45879534	040-b: 	Poetry and the age / Randall Jarrell.
	Has_$5	990219630220306576	(OCoLC)45879534	Field with $5 :505	
	Has_$5	990219630220306576	(OCoLC)45879534	Field with $5 :505	
	CHECK-Cataloging Language	990226450750306576	(OCoLC)651486812	040-b: 	Site-specific performance / Mike Pearson.
	Has_$5	990226450750306576	(OCoLC)651486812	Field with $5 :505	
	CHECK-Cataloging Language	990226820020306576	(OCoLC)50623266	040-b: 	Russia's policy challenges : security, stability, and development / Stephen K. Wegren, editor.
	Has_$5	990226820020306576	(OCoLC)50623266	Field with $5 :505	
	CHECK-Cataloging Language	990229530020306576	(OCoLC)137244774	040-b: 	Two trains running : 1969 / August Wilson ; foreword by Laurence Fishburne.
	Has_$5	990229530020306576	(OCoLC)137244774	Field with $5 :490	
	Has_$5	990229530020306576	(OCoLC)137244774	Field with $5 :500	
	Has_$5	990229530020306576	(OCoLC)137244774	Field with $5 :856	
	EDIT-440	990229530020306576	(OCoLC)137244774	Series, obsolete field: The August Wilson century cycle	
	CHECK-Series490-traced	990229530020306576	(OCoLC)137244774	Series statement (traced): The August Wilson century cycleFTSFSsNC	
	CHECK-Sets-ISBN_020A	990229530020306576	(OCoLC)137244774	ISBN:9781559363037 1559363037 9781559363075 (set) 155936307X (set) 9781559363037 (vol.)	
	CHECK-Sets-ISBN_020A	990229530020306576	(OCoLC)137244774	ISBN:9781559363037 1559363037 9781559363075 (set) 155936307X (set) 9781559363037 (vol.)	
	CHECK-Sets-ISBN_020A	990229530020306576	(OCoLC)137244774	ISBN:9781559363037 1559363037 9781559363075 (set) 155936307X (set) 9781559363037 (vol.)	
	CHECK-ENCODING	990239643290306576	(OCoLC)36126869	Encoding level: 8	The Black bourgeoisie / E. Franklin Frazier.
	CHECK-Cataloging Language	990239643290306576	(OCoLC)36126869	040-b: 	The Black bourgeoisie / E. Franklin Frazier.
	Has_$5	990239643290306576	(OCoLC)36126869	Field with $5 :500	
	CHECK-Cataloging Language	990239978230306576	(OCoLC)663459751	040-b: 	Extra/ordinary : craft and contemporary art / edited by Maria Elena Buszek.
	Has_$5	990239978230306576	(OCoLC)663459751	Field with $5 :505	
	Has_$5	990239978230306576	(OCoLC)663459751	Field with $5 :505	
	CHECK-Multi050	990251216510306576	(OCoLC)38885545	050-1: JZ1305.M32 1998 050-2: JC574.M33 1998	On liberal peace : democracy, war, and the international order / John MacMillan.
	Has_$5	990251216510306576	(OCoLC)38885545	Field with $5 :500	
	CHECK-Series490-traced	990251216510306576	(OCoLC)38885545	Series statement (traced): The library of international relations ;4	
	CHECK-ENCODING	990271646100306576	(OCoLC)744560566	Encoding level: 8	Patrick Chamoiseau : a critical introduction / Wendy Knepper.
	CHECK-Cataloging Language	990271646100306576	(OCoLC)744560566	040-b: 	Patrick Chamoiseau : a critical introduction / Wendy Knepper.
	Has_$5	990271646100306576	(OCoLC)744560566	Field with $5 :490	
	Has_$5	990271646100306576	(OCoLC)744560566	Field with $5 :505	
	EDIT-ISBN_20a-to-z	990271646100306576	(OCoLC)744560566	020a: 9781617031557 (ebook)	
	EDIT-ISBN_20a-to-z	990271646100306576	(OCoLC)744560566	020a: 1617031550 (ebook)	
	CHECK-Series490-traced	990271646100306576	(OCoLC)744560566	Series statement (traced): Caribbean studies seriesFTaSUFMFIUFU	
	CHECK-Cataloging Language	990275180910306576	(OCoLC)23868138	040-b: 	Perestroika-era politics : the new Soviet legislature and Gorbachev's political reforms / edited by Robert T. Huber and Donald R. Kelley.
	Has_$5	990275180910306576	(OCoLC)23868138	Field with $5 :490	
	Has_$5	990275180910306576	(OCoLC)23868138	Field with $5 :505	
	Has_$5	990275180910306576	(OCoLC)23868138	Field with $5 :505	
	EDIT-440	990275180910306576	(OCoLC)23868138	Series, obsolete field: Contemporary Soviet politics	
	EDIT-Series490-untraced	990275180910306576	(OCoLC)23868138	Series statement (untraced): Contemporary Soviet politicsFBoU	
	CHECK-Cataloging Language	990282506030306576	(OCoLC)50997820	040-b: 	Atlas shrugged / Ayn Rand.
	Has_$5	990282506030306576	(OCoLC)50997820	Field with $5 :500	
	Has_$5	990282506030306576	(OCoLC)50997820	Field with $5 :500	
	CHECK-Cataloging Language	990283650960306576	(OCoLC)36252820	040-b: 	Lord of the flies : a novel / by William Golding ; introduction by E.M. Forster ; with a biographical and critical note by E.L. Epstein.
	CHECK-Cataloging Language	990294171420306576	(OCoLC)51393338	040-b: 	"Why are all the Black kids sitting together in the cafeteria?" : and other conversations about race / Beverly Daniel Tatum.
	CHECK-Series490-traced	990308013020306576	(OCoLC)729341495	Series statement (traced): Penguin great books of the 20th century	
	CHECK-Series490-traced	990339895640306576	(OCoLC)886476985	Series statement (traced): American social and political movements of the twentieth century	
	CHECK-Series490-traced	990380105520306576	(OCoLC)1143617781	Series statement (traced): Richard D. Cohen lectures on African & African American art series.	
	CHECK-Multi050	99383839705206576	(OCoLC)1368273991	050-1: BS1830.E7R425 2023 050-2: BS1700.S78 v.27	Rediscovering Enoch? : the antediluvian past from the fifteenth to nineteenth centuries / edited by Ariel Hessayon, Annette Yoshiko Reed, Gabriele Boccaccini.
	CHECK-Series490-traced	99383839705206576	(OCoLC)1368273991	Series statement (traced): Studia in veteris testamenti pseudepigrapha,0169-8125 ;volume 27	
	EDIT-Contents	99383839705206576	(OCoLC)1368273991	Enhance Contents Field	
	CHECK-Series490-traced	99383841205006576	(OCoLC)1342621924	Series statement (traced): Scientiae studies ;3	
	CHECK-Cataloging Language	99383841205106576	(OCoLC)33885722	040-b: 	Negative dialectics / by Theodor W. Adorno ; translated by E.B. Ashton.
	Has_$5	99383841205106576	(OCoLC)33885722	Field with $5 :500	
	Has_$5	99383841205106576	(OCoLC)33885722	Field with $5 :500	
	CHECK-100-INDICATOR	99383843605006576	(OCoLC)1377399964	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383843605006576	(OCoLC)1377399964	245 Ind1: 0	Critiques for transformation : reimagining colleges and communities for social justice / edited by Lorenzo DuBois Baber, University of Illinois, Urbana-Champaign, Heather McCambly, University of Pittsburgh.
	CHECK-ENCODING	99383843899206576		Encoding level: 8	The United States and the Japanese student movement, 1948-1973 : managing a free world / Naoko Koda.
	Find OCLC	99383843899206576		Bib has no OCLC num	The United States and the Japanese student movement, 1948-1973 : managing a free world / Naoko Koda.
	CHECK-Cataloging Language	99383843899206576		040-b: 	The United States and the Japanese student movement, 1948-1973 : managing a free world / Naoko Koda.
	CHECK-Series490-traced	99383843904206576	(OCoLC)1350913886	Series statement (traced): Theatre makers	
	CHECK-Series490-traced	99383844195406576	(OCoLC)1378389196	Series statement (traced): Women in Africa and the diaspora	
	CHECK-100-INDICATOR	99383845704606576	(OCoLC)1266220527	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383845704606576	(OCoLC)1266220527	245 Ind1: 0	No humans involved / Erin Cristovale ; with contributions by Anthony Bogues, Zakiyyah Iman Jackson, and Sylvia Wynter.
	CHECK-Series490-traced	99383846602106576	(OCoLC)1319346012	Series statement (traced): American crossroads ;67	
	EDIT-Geo	99383846605106576	(OCoLC)1191456150	No Geo Code; Check Bib Record for Geo Headings	Boyle Heights : how a Los Angeles neighborhood became the future of American democracy / George J. Sánchez.
	CHECK-Series490-traced	99383846605106576	(OCoLC)1191456150	Series statement (traced): American crossroads	
	CHECK-Series490-traced	99383847205106576	(OCoLC)1382252288	Series statement (traced): Connected Histories in the Early Modern World	
	CHECK-100-INDICATOR	99383853402506576	(OCoLC)1289264547	Ind1:  , Ind2:  	
	CHECK-Series490-traced	99383853402506576	(OCoLC)1289264547	Series statement (traced): Oxford world's classics	
	CHECK-Series490-traced	99383853402606576	(OCoLC)1057761437	Series statement (traced): Studies of the Weatherhead East Asian Institute, Columbia University	
	CHECK-Series490-traced	99383853505106576	(OCoLC)1377217639	Series statement (traced): Intersections : histories of environment, science, and technology in the anthropocene	
	CHECK-Series490-traced	99383853704606576	(OCoLC)807025765	Series statement (traced): The making of Europe	
	CHECK-100-INDICATOR	99383856072006576	(OCoLC)1037293578	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383856072006576	(OCoLC)1037293578	245 Ind1: 0	The rhetorical tradition : readings from classical times to the present / edited by Patricia Bizzell, Bruce Herzberg, Robin Reames.
	CHECK-ENCODING	99383858801606576	(OCoLC)1285371891	Encoding level: 8	Human behavior in the social environment : perspectives on development and the life course / Anissa Taun Rogers.
	EDIT-Series490-untraced	99383858801606576	(OCoLC)1285371891	Series statement (untraced): New directions in social work	
	CHECK-Series490-traced	99383864978306576	(OCoLC)1145303505	Series statement (traced): Penguin vitae	
	CHECK-Multi050	99383864979106576	(OCoLC)1049577515	050-1: PZ7.1.T629Pan 2019 050-2: PS3620.O5875P36 2019	Pan's labyrinth : the labyrinth of the faun / Guillermo del Toro, Cornelia Funke ; illustrations by Allen Williams.
	EDIT-264-missing-©	99383864979806576	(OCoLC)860755391	2014	
	CHECK-Series490-traced	99383864979806576	(OCoLC)860755391	Series statement (traced): The Library of America ;252	
	CHECK-Cataloging Language	99383864981306576	(OCoLC)570375531	040-b: 	Emma / Jane Austen ; edited with an introduction and notes by Fiona Stafford.
	CHECK-Series490-traced	99383864981306576	(OCoLC)570375531	Series statement (traced): Penguin classics	
	CHECK-Series490-traced	99383864981706576	(OCoLC)946058579	Series statement (traced): Penguin classics	
	CHECK-Series490-traced	99383864981706576	(OCoLC)946058579	Series statement (traced): Penguin galaxy	
	CHECK-MultipleSeries490	99383864981706576	(OCoLC)946058579	Check Bib record	Neuromancer / William Gibson ; series introduction by Neil Gaiman.
	CHECK-Series490-traced	99383864981806576	(OCoLC)946058566	Series statement (traced): Penguin galaxy	
	CHECK-Series490-traced	99383864982306576	(OCoLC)724649002	Series statement (traced): Everyman's library ;345	
	CHECK-ENCODING	99383864982806576	(OCoLC)52760239	Encoding level: K	Living to tell the tale / by Gabriel Garcia Marquez.
	CHECK-Cataloging Language	99383864982806576	(OCoLC)52760239	040-b: 	Living to tell the tale / by Gabriel Garcia Marquez.
	Has_$5	99383864982806576	(OCoLC)52760239	Field with $5 :500	
	CHECK-Cataloging Language	99383864983006576	(OCoLC)33395438	040-b: 	Midnight's children / Salman Rushdie ; with an introduction by Anita Desai.
	Has_$5	99383864983006576	(OCoLC)33395438	Field with $5 :490	
	Has_$5	99383864983006576	(OCoLC)33395438	Field with $5 :490	
	Has_$5	99383864983006576	(OCoLC)33395438	Field with $5 :500	
	Has_$5	99383864983006576	(OCoLC)33395438	Field with $5 :500	
	EDIT-Series490-untraced	99383864983006576	(OCoLC)33395438	Series statement (untraced): Everyman's library ;217FFmFGCFMFIUFTaSU	
	EDIT-Series490-untraced	99383864983006576	(OCoLC)33395438	Series statement (untraced): Everyman's library.FPeU	
	CHECK-MultipleSeries490	99383864983006576	(OCoLC)33395438	Check Bib record	Midnight's children / Salman Rushdie ; with an introduction by Anita Desai.
	CHECK-Cataloging Language	99383864983106576	(OCoLC)26974441	040-b: 	Mrs. Dalloway / Virginia Woolf.
	Has_$5	99383864983106576	(OCoLC)26974441	Field with $5 :490	
	EDIT-Series490-untraced	99383864983106576	(OCoLC)26974441	Series statement (untraced): Everyman's library ;157FBoU	
	EDIT-Series490-untraced	99383864983406576	(OCoLC)25675864	Series statement (untraced): Everyman's library ;112	
	CHECK-Series490-traced	99383864983806576	(OCoLC)38067553	Series statement (traced): The library of America ;103	
	CHECK-Cataloging Language	99383864985106576	(OCoLC)45243259	040-b: 	Arts of the possible : essays and conversations / Adrienne Rich.
	CHECK-Cataloging Language	99383864986706576	(OCoLC)40354776	040-b: 	Brief interviews with hideous men / David Foster Wallace.
	Has_$5	99383864986706576	(OCoLC)40354776	Field with $5 :505	
	CHECK-100-INDICATOR	99383865102806576	(OCoLC)1032291325	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383865102806576	(OCoLC)1032291325	245 Ind1: 0	Cross-cultural interaction between Byzantium and the West, 1204-1669 : whose Mediterranean is it anyway? : papers from the forty-eighth Spring Symposium of Byzantine Studies, Milton Keynes, 28th-30th March 2015 / edited by Angeliki Lymberopoulou.
	CHECK-Series490-traced	99383865102806576	(OCoLC)1032291325	Series statement (traced): Society for the promotion of Byzantine studies. Publications ;22	
	CHECK-Cataloging Language	99383865103306576	(OCoLC)123421202	040-b: 	Narrating the past : (re)constructing memory, (re)negotiating history / edited by Nandita Batra and Vartan P. Messier.
	Has_$5	99383865103306576	(OCoLC)123421202	Field with $5 :500	
	Has_$5	99383865103306576	(OCoLC)123421202	Field with $5 :505	
	Find OCLC	99383927002306576		Bib has no OCLC num	All of us are cleaved / Karen Llagas.
	CHECK-Cataloging Language	99383927002306576		040-b: 	All of us are cleaved / Karen Llagas.
	Has_$5	990202025260306576	(OCoLC)08954566	Field with $5 :500	
	CHECK-Series490-traced	990202025260306576	(OCoLC)08954566	Series statement (traced): Contributions in Afro-American and African studies,0069-9624 ;no. 72	
	CHECK-Cataloging Language	990202321540306576	(OCoLC)32526263	040-b: 	The Tibetan book of living and dying / Sogyal Rinpoche ; edited by Patrick Gaffney and Andrew Harvey.
	CHECK-Cataloging Language	990206154180306576	(OCoLC)555658419	040-b: 	Pride and prejudice : an annotated edition / Jane Austen ; edited by Patricia Meyer Spacks.
	CHECK-Cataloging Language	990212759170306576	(OCoLC)52039575	040-b: 	Love / Toni Morrison.
	CHECK-Cataloging Language	990218419260306576	(OCoLC)62762208	040-b: 	Cervantes' Don Quixote : a reference guide / Howard Mancing.
	Has_$5	990218419260306576	(OCoLC)62762208	Field with $5 :505	
	Has_$5	990218419260306576	(OCoLC)62762208	Field with $5 :505	
	Has_$5	990218419260306576	(OCoLC)62762208	Field with $5 :505	
	EDIT-440	990218419260306576	(OCoLC)62762208	Series, obsolete field: Greenwood guides to multicultural literature	
	CHECK-Cataloging Language	990220145920306576	(OCoLC)72151012	040-b: 	Third wave feminism and television : Jane puts it in a box / edited by Merri Lisa Johnson.
	Has_$5	990220145920306576	(OCoLC)72151012	Field with $5 :490	
	Has_$5	990220145920306576	(OCoLC)72151012	Field with $5 :505	
	EDIT-440	990220145920306576	(OCoLC)72151012	Series, obsolete field: Reading contemporary television	
	EDIT-Series490-untraced	990220145920306576	(OCoLC)72151012	Series statement (untraced): Reading contemporary televisionFBoU	
	CHECK-Cataloging Language	990224110670306576	(OCoLC)34576655	040-b: 	The psychology of values / edited by Clive Seligman, James M. Olson, Mark P. Zanna.
	Has_$5	990224110670306576	(OCoLC)34576655	Field with $5 :490	
	Has_$5	990224110670306576	(OCoLC)34576655	Field with $5 :500	
	Has_$5	990224110670306576	(OCoLC)34576655	Field with $5 :505	
	EDIT-440	990224110670306576	(OCoLC)34576655	Series, obsolete field: The Ontario symposium ;v. 8	
	EDIT-Series490-untraced	990224110670306576	(OCoLC)34576655	Series statement (untraced): The Ontario symposium ;v. 8FBoU	
	CHECK-Cataloging Language	990224265630306576	(OCoLC)449844391	040-b: 	A visit from the Goon Squad / Jennifer Egan.
	CHECK-Cataloging Language	990229152100306576	(OCoLC)60845518	040-b: 	How to prepare a dissertation proposal : suggestions for students in education and the social and behavioral sciences / David R. Krathwohl, Nick L. Smith.
	CHECK-Cataloging Language	990232718490306576	(OCoLC)60705617	040-b: 	Gender and crime : patterns of victimization and offending / edited by Karen Heimer and Candace Kruttschnitt.
	Has_$5	990232718490306576	(OCoLC)60705617	Field with $5 :505	
	Has_$5	990232718490306576	(OCoLC)60705617	Field with $5 :505	
