IZ_MMS	NZ_MMS	OCLC	BIB_LEVEL	DOC	TAG	IND	FIELD
990227247880306576	9910762308706561	01074307	m	0	490	1 	$a Sagamore Army Materials Research Conference proceedings / Sagamore Army Materials Research Conference ; $v 15th $5 FOFT
990227247880306576	9910762308706561	01074307	m	0	490	1 	$a Sagamore Army Materials Research Conference. Proceedings, $v 15 $5 FTaSU
990227247880306576	9910762308706561	01074307	m	0	500	  	$a Sponsored by Army Materials and Mechanics Research Center, Watertown, Mass., in cooperation with Syracuse University. $5 FOFT
990227247880306576	9910762308706561	01074307	m	0	500	  	$a Sponsored by Army Materials and Mechanics Research Center, Watertwon, Mass., in cooperation with Syracuse University. $5 FBoU $5 FTaSU
990228355360306576	9910334734606561	00526300	m	|	411	20	$a International Colloquium in the Philosophy of Science $d (1965 : $c Bedford College) $t Proceedings, $v v. 1 $5 FTS
990228355360306576	9910334734606561	00526300	m	|	490	1 	$a Its Proceedings, $v v. 1 $5 FTaSU
990228355360306576	9910334734606561	00526300	m	|	500	  	$a Organized jointly by the British Society for the Philosophy of Science and the London School of Economics and Political Science, under the auspices of the Division of Logic, Methodology, and Philosophy of Science of the International Union of the History and Philosophy of Science. $5 FTaSU
990228355360306576	9910334734606561	00526300	m	|	500	  	$a Organized jointly by the British Society for the Philosophy of Science and the London School of Economics and Political Science, under the auspices of the Division of Logic, Methodology, and Philosophy of Science of the International Union of [the] Histo,y and Philosophy of Science. $5 FU
990228355360306576	9910334734606561	00526300	m	|	926	  	$a HATHI-IC $5 KEEPUF $9 LOCAL
990228440960306576	9910661325206561	01074334	m	0	411	20	$a Sagamore Army Materials Research Conference. $t Sagamore Army Materials Research Conference proceedings, $v 16 $5 FBoU
990228440960306576	9910661325206561	01074334	m	0	490	1 	$a Sagamore Army Materials Research Conference. $a Sagamore Army Materials Research Conference proceedings, $v 16 $5 FMFIU
990228440960306576	9910661325206561	01074334	m	0	490	1 	$a Sagamore Army Materials Research Conference. Proceedings, $v 16 $5 FTaSU
990228440960306576	9910661325206561	01074334	m	0	500	  	$a Sponsored by Army Materials and Mechanics Research Center, Watertown, Mass., in cooperation with Syracuse University. $5 FMFIU $5 FJUNF $5 FBoU $5 FTaSU
990232684330306576	9910138508706561	01882444	m	0	411	21	$a Its $t Studies, $v no. 234. $5 FPeU
990232684330306576	9910138508706561	01882444	m	0	490	0 	$a Its Studies, no. 234. $5 FJUNF $5 FTaSU
990247863340306576	9910686436106561	02722554	2	0	411	21	$a Its $t Studies in Western art, $v v. 4 $5 FTaSU
990247863590306576	9910686430006561	00678271	2	0	411	21	$a Its $t Studies in Western art, $v v. 2 $5 FTaSU
990247863590306576	9910686430006561	00678271	2	0	490	1 	$a Acts of the twentieth International Congress of the History of Art $5 FSsNC $5 FTaSU
990247863590306576	9910686430006561	00678271	2	0	500	  	$a Chiefly in English, some contributions in French, German, or Italian. $5 FSsNC $5 FTaSU
990247863590306576	9910686430006561	00678271	2	0	505	0 	$a The Renaissance abd antiquity. Introduction / André Chastel ; Sources of the Renaissance villa / James S. Ackerman ; The Renaissance concept of nature and antiquity / Jan Bialostocki ; The style all'antica : imitation and assimilation / E.H. Gombrich ; Alberti and Vitruvius / Richard Krautheimer ; Physiognomical theory in Renaissance heroic portraits / Peter Meller ; Le Premier projet pour St.-Pierre de Rome, Bramante et Michel-Ange / Franz Wolff Metternich ; The census of antique works of art known to Renaissance artists / Phyllis Bober ; The revival of antique vault decoration / Juergen Schulz -- Intalian art, 1420-1430. Introduction / Hans Kauffmann ; Nanni di Banco's Assumption of the Virgin on the Porta della Mandorla / H.W. Janson ; Strukturprinzipien der Florentiner Frührenaissance-Architektur : Prospectiva aedificandi / Ludwig H. Heydenreich ; Masaccio and the early Renaissance : the circular plan / Millard Meiss ; Perspective and imagination / Robert Oertel -- Recent concepts of mannerism. Introduction : the historiographic background / E.H. Gombrich ; Mannerism and maniera / Craig Hugh Smyth ; Maniera as an aestheic ideal / John Shearman ; Power and the individual in mannerist art / Frederick Hartt ; Mannerism in architecture : changing aspects / Wolfgang Lotz ; Realism as a side road or byway in Dutch art / E.K.J. Reznicek ; Discussione sul manierismo / Declecio Redig de Campos. $5 FTaSU
990247954630306576	9910405396106561	22543847	m	0	411	20	$a Conference on Research in Income and Wealth. $t Studies in income and wealth ; $v v. 54 $5 FPeU
990247954630306576	9910405396106561	22543847	m	0	490	0 	$a Studies in income and wealth ; $v v. 54 $5 FTaSU
990247954630306576	9910405396106561	22543847	m	0	500	  	$a Contains part of the papers and discussion presented at the 50th Anniversary Conference of the Conference on Research in Income and Wealth held May 12-14, 1988, in Washington, D.C. $5 FU $5 FSsNC $5 FTaSU $5 FPeU $5 FTS $5 FOFT
990262144100306576	9910622813606561	02020554	m	0	411	20	$a International Congress of Chemotherapy $n (9th : $d 1975 : $c London) $t Chemotherapy ; $v v. 7-8 $5 FTS
990262144100306576	9910622813606561	02020554	m	0	490	0 	$a Its Chemotherapy ; $v v. 7-8 $5 FTaSU
990262144100306576	9910622813606561	02020554	m	0	926	  	$a HATHI-IC $5 KEEPUF $9 LOCAL
990263752670306576	9910164251106561	04136511	m	0	411	20	$a Eastern Analytical Symposium $n (17th : $d 1977 : $c New York) $t 1977 Eastern Analytical Symposium series $5 FTS
990263752670306576	9910164251106561	04136511	m	0	490	0 	$a Eastern Analytical Symposium series ; 1977 $5 FTaSU
990263752670306576	9910164251106561	04136511	m	0	490	1 	$a 1977 Eastern Analytical Symposium series $5 FU
990263752670306576	9910164251106561	04136511	m	0	500	  	$a REPL* $5 FU
990265272280306576	9910954700506561	02880529	m	0	411	20	$a Conference of European Statisticians. $t Statistical standards and studies , $v no. 8 $5 FTS
990265272280306576	9910954700506561	02880529	m	0	490	0 	$a <United Nations. Document> ; $v ST/CES/8. $5 FTaSU
990265272280306576	9910954700506561	02880529	m	0	490	0 	$a Statistical standards and studies ; $v no. 8 $5 FTaSU
990265272280306576	9910954700506561	02880529	m	0	500	  	$a United Nations publication. Sales no.: 67.II.E/Mim.13. $5 FTaSU $5 FTS
990265272280306576	9910954700506561	02880529	m	0	500	  	$a At head of title: United Nations Statistical Commission and Economic Commission for Europe. $5 FTaSU $5 FTS
990265272280306576	9910954700506561	02880529	m	0	500	  	$a [United Nations. Document] ST/CES/8. $5 FTS
